 "W24" ,
 "truth table" ,
 "epoch" ,
 "biology" ,
 "differentiable function" ,
 "error term" ,
 "Handwritten" ,
 "Backpropagation" ,
 "backpropagation" ,
 "phoneme" ,
 "hidden node" ,
 "hyperplane" ,
 "black box" ,
 "neurotransmitters" ,
 "Speech synthesis" ,
 "linearly separable" ,
 "Gail" ,
 "decision boundaries" ,
 "decision boundary" ,
 "Type I error" ,
 "false positive" ,
 "false negative" ,
 "False negative" ,
 "False positive" ,
 "Type II error" ,
 "SGD" ,
 "Russell" ,
 "Partial derivative" ,
 "W45" ,
 "Alpha-Beta" ,
 "Pruning" ,
 "game tree" ,
 "Two-ply" ,
 "Nim" ,
 "Tic-Tac-Toe" ,
 "Natural Language Processing (NLP)" ,
 "Natural Language Processing" ,
 "NLP" ,
 "natural language" ,
 "natural language processing" ,
 "Potomac" ,
 "Chicago" ,
 "Parsing" ,
 "parsing" ,
 "parser" ,
 "lexicon" ,
 "parse tree" ,
 "POS" ,
 "Word sense disambiguation" ,
 "Word Sense Disambiguation" ,
 "bigram" ,
 "part-of-speech" ,
 "context-free grammar" ,
 "Olga" ,
 "word order" ,
 "syntactic" ,
 "syntax" ,
 "Information extraction" ,
 "Information Extraction" ,
 "Question answering" ,
 "question answering" ,
 "Question Answering" ,
 "question answering system" ,
 "comma" ,
 "helicopter" ,
 "Smoothing" ,
 "Bayes rule" ,
 "coffee" ,
 "fever" ,
 "OCR" ,
 "Optical character recognition" ,
 "Optical Character Recognition" ,
 "Citizen Kane" ,
 "probability distribution" ,
 "Tokenization" ,
 "tokenization" ,
 "tokenize" ,
 "UN" ,
 "Falkland Islands" ,
 "13th Shanghai International Film Festival" ,
 "Alcatraz" ,
 "Named Entity Recognition" ,
 "Named entity recognition" ,
 
( ,
 "bi-" ,
 "Markov" ,
 "aardvark" ,
 "NER" ,
 "WALLACHIA" ,
 "zoophyte" ,
 "n-gram" ,
 "Bram" ,
 "Ontario" ,
 "ibuprofen" ,
 "Information Retrieval" ,
 "Information retrieval" ,
 "GOFAI" ,
 "ADV" ,
 "LM" ,
 "matrix" ,
 "Ambiguity" ,
 "Agra" ,
 "Metropolis" ,
 "chicken" ,
 "S2" ,
 "computer" ,
 "Deep Learning" ,
 "Deep learning" ,
 "magic" ,
 "base pair" ,
 "prob" ,
 "Dracula" ,
 "
8" ,
 "
6" ,
 "NP" ,
 "S3" ,
 "Mubarak" ,
 "IBM" ,
 "Natural Language Generation" ,
 "DNA sequence" ,
 "Einstein" ,
 "Stanford" ,
 "probability mass" ,
 "mouse" ,
 "zucchini" ,
 "Language model" ,
 "language model" ,
 "Castro Theatre" ,
 "milk" ,
 "toffee" ,
 "ABC" ,
 "Shannon" ,
 "Coreference" ,
 "Coreference resolution" ,
 "trigram" ,
 "Bush" ,
 "S4" ,
 "Princeton" ,
 "Dialog" ,
 "soup" ,
 "Sentiment analysis" ,
 "Sentiment Analysis" ,
 "compact" ,
 "sleep" ,
 "Machine Translation" ,
 "machine translation" ,
 "Machine translation" ,
 "San Francisco" ,
 "science fiction" ,
 "SF" ,
 "British Left" ,
 "MOST" ,
 "Data preparation" ,
 "broccoli" ,
 "k-means" ,
 "K-means clustering" ,
 "Mary" ,
 "Dow Jones" ,
 "Chinese" ,
 "aardwolf" ,
 "hyperparameters" ,
 "convolution" ,
 "Convolution" ,
 "convolves" ,
 "Convolutional Neural Networks" ,
 "CNN" ,
 "autoencoder" ,
 "Autoencoder" ,
 "Max" ,
 "layer 3" ,
 "Inception" ,
 "The features" ,
 "deep belief network" ,
 "ImageNet" ,
 "statistical model" ,
 "Academic Press" ,
 "SVM" ,
 "DL" ,
 "Edge" ,
 "Yoshua Bengio" ,
 "Bengio" ,
 "feature engineering" ,
 "labeled data" ,
 "Geoff Hinton" ,
 "Hinton" ,
 "Geoffrey Hinton" ,
 "Google Translate" ,
 "kernel" ,
 "circle" ,
 "layer 2" ,
 "Vector Institute" ,
 "Filter" ,
 "NaN" ,
 "Toronto" ,
 "Skype Translator" ,
 "edge detection" ,
 "RGB" ,
 "GPU" ,
 "Yann LeCun" ,
 "Open Access" ,
 "open access" ,
 "Edmonton" ,
 "Object recognition" ,
 "overfit" ,
 "overfitting" ,
 "Overfitting" ,
 "linguistics" ,
 "Sutton" ,
 "NN" ,
 "clause" ,
 "Canada" ,
 "The weight" ,
 "Ilya" ,
 "feature learning" ,
 "Computer vision" ,
 "Computer Vision" ,
 "computer vision" ,
 "image recognition" ,
 "URI" ,
 "IL-10" ,
 "MAPK3" ,
 "Heidelberg" ,
 "Serialization" ,
 "gp41" ,
 "monocyte" ,
 "monocytes" ,
 "graph databases" ,
 "Lisa" ,
 "GraphIQ" ,
 "Harper Collins" ,
 "draft" ,
 "API" ,
 "Oracle Spatial" ,
 "protein" ,
 "gene" ,
 "personalized medicine" ,
 "ConceptNet" ,
